repo,lang,ai_bucket,file,name,sim,ai_ratio,language
tomasz-tomczyk/crit,go,high,frontend/highlight.min.js,s,0.0,1.0,javascript
Termix-SSH/Termix,typescript,low,public/pdf.worker.min.js,parse,0.0003071820546546064,1.0,javascript
Termix-SSH/Termix,typescript,low,public/pdf.worker.min.js,sanitizeTTProgram,0.00034541665768782193,1.0,javascript
Termix-SSH/Termix,typescript,low,public/pdf.worker.min.js,convert,0.00035754834965309317,1.0,javascript
Termix-SSH/Termix,typescript,low,public/pdf.worker.min.js,preEvaluateFont,0.0003679361766805726,1.0,javascript
Termix-SSH/Termix,typescript,low,public/pdf.worker.min.js,makeInlineImage,0.0003780873567184451,1.0,javascript
Termix-SSH/Termix,typescript,low,public/pdf.worker.min.js,constructor,0.0003819626481636572,1.0,javascript
Termix-SSH/Termix,typescript,low,public/pdf.worker.min.js,#i,0.0004001853260086571,1.0,javascript
Termix-SSH/Termix,typescript,low,public/pdf.worker.min.js,readNextChar,0.0005577664016533732,1.0,javascript
tomasz-tomczyk/crit,go,high,frontend/mermaid.min.js,Uke,0.0005835371342247148,1.0,javascript
Termix-SSH/Termix,typescript,low,public/pdf.worker.min.js,executeCommand,0.000712317799192899,1.0,javascript
Termix-SSH/Termix,typescript,low,public/pdf.worker.min.js,update,0.0007124347041306348,1.0,javascript
tomasz-tomczyk/crit,go,high,frontend/highlight.min.js,e,0.000741763090370715,1.0,javascript
tomasz-tomczyk/crit,go,high,frontend/mermaid.min.js,$,0.0007529651156188062,1.0,javascript
tomasz-tomczyk/crit,go,high,frontend/highlight.min.js,e,0.0007702042910472898,1.0,javascript
tomasz-tomczyk/crit,go,high,frontend/highlight.min.js,e,0.0007709193410550483,1.0,javascript
tomasz-tomczyk/crit,go,high,frontend/mermaid.min.js,Ee,0.0007788075093843936,1.0,javascript
tomasz-tomczyk/crit,go,high,frontend/mermaid.min.js,t,0.0009537837367113545,1.0,javascript
tomasz-tomczyk/crit,go,high,frontend/highlight.min.js,E,0.0009651192378225702,1.0,javascript
tomasz-tomczyk/crit,go,high,frontend/mermaid.min.js,t,0.001073062168793704,1.0,javascript
spider-rs/spider,rust,low,spider/src/website.rs,crawl_establish,0.00281584805957446,0.4791666666666667,rust
NikolayS/rpg,rust,high,src/describe.rs,list_access_methods,0.0032351491519627545,1.0,rust
NikolayS/rpg,rust,high,src/describe.rs,list_all_relations,0.0037218443396043964,1.0,rust
NikolayS/rpg,rust,high,src/describe.rs,list_ts_dicts,0.0037499354399395056,1.0,rust
spider-rs/spider,rust,low,spider/src/website.rs,crawl_concurrent,0.003787797576233481,0.10714285714285714,rust
spider-rs/spider,rust,low,spider/src/website.rs,crawl_concurrent_smart,0.003816707164709213,0.3451086956521739,rust
NikolayS/rpg,rust,high,src/describe.rs,ts_templates_sql_does_not_exclude_pg_catalog,0.004081345768937742,1.0,rust
NikolayS/rpg,rust,high,src/describe.rs,list_ts_configs,0.004144478579820797,1.0,rust
NikolayS/rpg,rust,high,src/describe.rs,list_ts_templates,0.004201544244945373,1.0,rust
NikolayS/rpg,rust,high,src/describe.rs,list_types,0.004289330758789885,0.9893617021276596,rust
NikolayS/rpg,rust,high,src/describe.rs,list_event_triggers,0.004383274536769502,0.0821917808219178,rust
NikolayS/rpg,rust,high,src/describe.rs,list_fdws,0.004390896269091162,0.18,rust
NikolayS/rpg,rust,high,src/describe.rs,list_schemas,0.0043978713996870675,0.9848484848484849,rust
spider-rs/spider,rust,low,spider/src/website.rs,crawl_establish_chrome_one,0.004432088546845735,0.5811320754716981,rust
spider-rs/spider,rust,low,spider/src/page.rs,links_stream_base_from_disk,0.004478581002046809,1.0,rust
spider-rs/spider,rust,low,spider/src/website.rs,crawl_establish,0.004480048320019021,0.5981308411214953,rust
affaan-m/everything-claude-code,javascript,low,skills/continuous-learning-v2/scripts/test_parse_instinct.py,test_multiple_instincts_preserve_content,0.004556961861998415,0.0,python
spider-rs/spider,rust,low,spider/src/page.rs,links_stream,0.004620229083268666,0.6944444444444444,rust
spider-rs/spider,rust,low,spider/src/website.rs,crawl_concurrent_webdriver,0.004633589129067968,0.9575757575757575,rust
spider-rs/spider,rust,low,spider/src/website.rs,dequeue,0.004725556919245944,0.22857142857142856,rust
spider-rs/spider,rust,low,spider/src/page.rs,test_metadata_via_build,0.004776275909426413,1.0,rust
brycewang-stanford/StatsPAI,python,high,src/statspai/utils/dgp.py,dgp_iv,0.0048697549127708255,1.0,python
brycewang-stanford/StatsPAI,python,high,src/statspai/utils/dgp.py,dgp_rd_2d,0.005038672856443237,1.0,python
affaan-m/everything-claude-code,javascript,low,skills/continuous-learning-v2/scripts/test_parse_instinct.py,test_validate_normal_path,0.005247235930360963,0.0,python
brycewang-stanford/StatsPAI,python,high,src/statspai/utils/dgp.py,dgp_observational,0.005274360281799582,1.0,python
affaan-m/everything-claude-code,javascript,low,skills/continuous-learning-v2/scripts/test_parse_instinct.py,test_promote_specific_not_found,0.005316682296929487,0.0,python
coasys/ad4m,javascript,low,rust-executor/src/db.rs,get_pending_send_by_hash,0.00541597475667623,0.0,rust
coasys/ad4m,javascript,low,rust-executor/src/db.rs,get_all_payment_requests,0.005425804425016607,0.0,rust
coasys/ad4m,javascript,low,rust-executor/src/db.rs,get_all_sends,0.0055014454745177365,0.0,rust
coasys/ad4m,javascript,low,rust-executor/src/db.rs,get_setting,0.005634106075611782,0.0,rust
