repo,lang,is_multilingual,ai_bucket,selection,ai_ratio_disc,ai_ratio_obs,function_count,repo_uniformity_index,mean_top1_sim,pattern_cluster_density,p10_topk,p50_topk,p90_topk,same_file_cohesion,cross_file_coupling,cohesion_coupling_ratio,isolation_rate,ai_uniformity_gap,high_ai_count,low_ai_count,high_ai_mean_topk_sim,low_ai_mean_topk_sim,ai_cluster_contribution,high_ai_isolation_rate,low_ai_isolation_rate,cross_lang_pair_count,cross_lang_pair_score,lines_per_function_mean,lines_per_function_median,cc_mean_python,comment_density_mean,log_stars
BoundaryML/baml,rust,False,low,stars,0.0212,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,
DataDog/datadog-ci,typescript,False,low,recency,0.0035,0.010886742756804214,374,0.014870722307451048,0.02584075212411249,7.9144385026737964,0.010829887896593553,0.014990056257734674,0.018280753892631875,0.017832650409420298,0.014794981739640715,1.2053175004360195,0.016042780748663103,0.0016656653724880684,3,368,0.01653824659749789,0.014872581225009823,0.008108108108108109,0.0,0.10326086956521739,164,0.015188353658536595,30.454545454545453,18.0,,0.027072875087982718,0.0
FortiumPartners/ai-mesh,javascript,False,high,recency,0.8101,1.0,23,0.014848466762023416,0.020183465695173097,9.304347826086957,0.013081356119019328,0.01485073554476796,0.015914693162929143,0.0438482676374237,0.014735770174196815,2.9756346033548047,0.043478260869565216,0.014848466762023416,23,0,0.014848466762023416,0.0,1.0,0.13043478260869565,0.0,120,0.0172345,40.08695652173913,34.0,5.739130434782608,0.08766904862731942,0.0
JordanCoin/codemap,go,False,mid,stars,0.371,0.4418917706183254,350,0.014948148846281824,0.02964348274004246,5.257142857142857,0.011998094599423328,0.014464662274369895,0.018914815633847722,0.02094136368742993,0.0144728859708925,1.4469376549740438,0.011428571428571429,0.0004403293987308883,136,190,0.01506851427433632,0.01462818487560543,0.4152173913043478,0.125,0.08947368421052632,0,0.0,31.837142857142858,20.0,,0.03292012024977776,0.0
LPilic/n8n-library,javascript,True,high,stars,0.891,0.9705939253240472,701,0.014848796645429551,0.024312238904788248,7.089871611982882,0.01194353099702039,0.014584510941969168,0.017681478583760173,0.019798932380130578,0.014533770250215322,1.3622709069477172,0.011412268188302425,-0.00024263515091540837,685,14,0.014835200575509404,0.015077835726424812,0.9738430583501007,0.10218978102189781,0.07142857142857142,1058,0.01691151228733459,22.121255349500714,13.0,,0.018971274714092237,0.0
NikolayS/rpg,rust,False,high,recency,0.752,0.5824383654170888,2497,0.012272988657861719,0.028060433177498068,8.253904685622746,0.0090922089563199,0.012331464001185974,0.015361833151528342,0.022244228755461407,0.011117214124408442,2.000881561381732,0.010412494993992792,-0.0005280829059799274,1242,1033,0.012027933418237888,0.012556016324217815,0.507132459970888,0.11594202898550725,0.07260406582768635,364,0.015680989010989018,23.716459751702043,10.0,,0.05589987573702142,0.0
OpenAgentsInc/openagents,rust,False,low,recency,0.2248,0.0,39,0.013121924153481469,0.020330313288054108,11.76923076923077,0.011128869901180045,0.013390665571981208,0.015248962248198406,0.02349369231140277,0.012802544221784671,1.8350799578904136,0.02564102564102564,-0.013121924153481469,0,39,0.0,0.013121924153481469,0.0,0.0,0.1282051282051282,59,0.01516457627118644,28.153846153846153,16.0,5.461538461538462,0.0,0.0
Termix-SSH/Termix,typescript,False,low,stars,0.0455,0.8271569977731725,2527,0.009107981303790431,0.02109981880788742,5.557182429758607,0.0020118943041148923,0.008055702263181667,0.016561673514982802,0.010831914939295657,0.009623095698897105,1.125616462541996,0.010288880094974277,-0.005661495676113007,2133,241,0.00811416054092578,0.013775656217038787,0.6985686819055758,0.11908110642287857,0.0,937,0.014909445037353268,30.74356944994064,14.0,,0.0016422694459383574,0.0
TheArchitectit/agent-guardrails-template,go,False,mid,recency,0.5357,0.3491300745650373,259,0.013165990548099313,0.025230390379703205,8.903474903474903,0.010126370758293445,0.012260966981890924,0.017093869286481853,0.016048251251491667,0.013028216463474285,1.2318072313646542,0.015444015444015444,-0.0014215074706521707,60,189,0.012103621658949303,0.013525129129601474,0.27580225498699046,0.16666666666666666,0.08994708994708994,466,0.016422896995708154,23.301158301158303,12.0,4.396887159533074,0.028967073203012297,0.0
TikiTribe/claude-secure-coding-rules,python,False,low,stars,0.1077,0.0,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,0.0
Zipstack/visitran,python,True,mid,recency,0.4909,0.04473708788642944,1229,0.016457003230597084,0.03207581908909317,12.39707078925956,0.013534491934944978,0.016095856352859223,0.019755178701359333,0.02182609992539665,0.016395047764012672,1.3312617468126688,0.010577705451586655,0.0005723518533831684,20,1152,0.017064317404389618,0.01649196555100645,0.024284589131005514,0.0,0.0920138888888889,252,0.014893333333333333,17.42392188771359,10.0,2.973640856672158,0.042071530050926134,0.0
adcontextprotocol/adcp,typescript,False,high,recency,0.8196,0.0,3,0.011811085178414449,0.016313939000491547,10.666666666666666,0.010499060030187541,0.010982132630809136,0.013952062874246668,0.0,0.011811085178414449,0.0,0.3333333333333333,-0.011811085178414449,0,3,0.0,0.011811085178414449,0.0,0.0,0.3333333333333333,26,0.017268846153846155,16.666666666666668,8.0,3.6666666666666665,0.022988505747126436,0.0
affaan-m/everything-claude-code,javascript,True,low,stars,0.0522,0.19754376796446302,143,0.011212202201914849,0.019397905525657295,5.72027972027972,0.006421238653241361,0.010615029872646616,0.01705436913518828,0.010347448358465511,0.011183396790031157,0.9252509369683809,0.013986013986013986,0.00418207752388019,13,127,0.014991670740871125,0.010809593216990935,0.1821515892420538,0.0,0.11811023622047244,362,0.015536325966850829,26.762237762237763,16.0,5.442857142857143,0.030541365852351045,0.0
agentic-research/mache,go,False,low,recency,0.1686,0.33588451850416584,698,0.015197580531102949,0.030432073239613135,7.628939828080229,0.011785806272942784,0.014763238395458806,0.019109870081911506,0.027295587302763796,0.014206419281131573,1.9213558858576532,0.011461318051575931,-0.0003218731263163084,248,394,0.014984692807849424,0.015306565934165732,0.3447887323943662,0.08064516129032258,0.10913705583756345,0,0.0,29.57593123209169,17.0,,0.042000587496021126,0.0
armelhbobdad/bmad-module-skill-forge,python,True,mid,recency,0.6744,0.8167539267015707,130,0.01312243383846211,0.01726399657545363,12.515384615384615,0.011106072049313614,0.013020495926824827,0.015135539273956134,0.009756011707793258,0.013153918291785839,0.7416810330869659,0.015384615384615385,0.000423453912451981,99,29,0.013194780511266619,0.012771326598814638,0.7818070067609096,0.08080808080808081,0.20689655172413793,46,0.015052391304347825,30.853846153846153,23.0,7.6976744186046515,0.033228863478501736,0.0
bobmatnyc/claude-mpm,python,False,high,recency,0.7154,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,
boshu2/agentops,go,False,low,stars,0.0118,0.12269031781226904,60,0.014247432544867714,0.01983441973725227,11.633333333333333,0.011307020205705943,0.014905199488826251,0.01595944550857286,0.02553174671255523,0.014037704594584375,1.8187978341135032,0.03333333333333333,-0.0021968259296996674,10,50,0.012416744270117993,0.01461357019981766,0.10028653295128939,0.3,0.08,15,0.016051333333333334,45.1,25.0,7.932203389830509,0.020737276151304797,0.0
brycewang-stanford/StatsPAI,python,False,high,recency,0.8345,0.9285878198817076,2091,0.01361880973274156,0.021117927572656913,5.5585844093735055,0.01094470558302641,0.01377634421431625,0.015900568815002108,0.02727222876786646,0.01326486376961043,2.055975036121114,0.010521281683405069,-0.0004012817321643238,1909,138,0.013606110459844918,0.014007392192009242,0.9163727092833176,0.10110005238344683,0.057971014492753624,158,0.0148226582278481,64.6049736967958,36.0,7.475951903807616,0.03038822774702683,0.0
coasys/ad4m,javascript,True,low,recency,0.0218,0.04146112134365461,2555,0.015355012140586065,0.029620074002721025,7.850880626223092,0.010599490928203403,0.014636227851304922,0.020960919167418306,0.020255456091273293,0.015054751493683703,1.3454527030732837,0.010567514677103719,-0.00023502449500765674,106,2379,0.015175813842924464,0.015410838337932121,0.06341293185103944,0.02830188679245283,0.1034047919293821,4725,0.01590339470899478,30.387084148727983,16.0,,0.03961581093007089,0.0
davetashner/stringer,go,False,high,recency,0.8098,0.2461906622387185,669,0.015397948541155455,0.029492605919524708,5.783258594917788,0.011729494413359517,0.015134292831822979,0.019904193827787648,0.023929197161808944,0.014835964308736974,1.6129182211443391,0.01195814648729447,0.00047140014712378567,155,472,0.015706087546451412,0.015234687399327627,0.24967691910054277,0.07741935483870968,0.10805084745762712,8,0.014142500000000002,30.606875934230196,21.0,,0.033203289213833045,0.0
davila7/claude-code-templates,python,False,mid,stars,0.4012,0.624927070481,2953,0.015088097083673034,0.019692924673968944,9.90687436505249,0.012272505002879366,0.014974389616738424,0.017777975225204037,0.025452784692659266,0.014970795706715084,1.700162449030183,0.010497798848628514,-0.00040153735354537395,1777,1152,0.014919881571205537,0.015321418924750911,0.6075200820372586,0.10917276308384918,0.08854166666666667,1758,0.01483575085324232,35.40568912969861,25.0,6.1591307395723796,0.04729554596376767,0.0
docker/mcp-gateway,go,False,low,stars,0.0519,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,
e2b-dev/E2B,python,True,low,stars,0.005,0.012273291925465838,789,0.017771184031146525,0.032780712179792455,10.38276299112801,0.012168156584648055,0.016961494321354582,0.023912179400130986,0.02337504032062524,0.0175935302713497,1.3286156877048423,0.011406844106463879,-0.0009064631694606674,3,782,0.016883883326195157,0.017790346495655824,0.0047607421875,0.0,0.10230179028132992,1071,0.015025088702147527,25.506970849176174,24.0,2.4217948717948716,0.007388506848438233,0.0
formatjs/formatjs,typescript,False,low,stars,0.0254,0.07891973725978561,1555,0.019321615170773,0.034987810097784115,10.711254019292605,0.011340830886424869,0.017026335512903185,0.031485826742683756,0.02185726542502606,0.01909454022590975,1.1446866573601764,0.010932475884244373,-0.004132800491409837,105,1409,0.015511707815887175,0.019644508307297012,0.05661623439000961,0.20952380952380953,0.0880056777856636,2229,0.01697728129205921,26.336334405144694,15.0,,0.04101468977231944,0.0
future-architect/uzomuzo-oss,go,False,high,recency,0.7399,0.4984006978772899,714,0.016448984042541644,0.03085335780338038,5.84453781512605,0.01195133762112564,0.015324716327947702,0.02082533707320719,0.023670541779356177,0.015893119156870566,1.4893578501312277,0.011204481792717087,-0.0013524183553665359,337,338,0.01566294549025998,0.017015363845626515,0.4390127006949437,0.12462908011869436,0.08875739644970414,0,0.0,28.899159663865547,18.0,,0.04546009016325554,0.0
garrytan/gbrain,typescript,False,high,stars,0.817,0.9858973671510537,1747,0.01542909322298902,0.028355424247664747,6.5220377790498,0.011319196262291907,0.014641403771555848,0.019462417357466618,0.020090006730054764,0.015062408076469077,1.333784520248123,0.01030337721808815,0.002423524558561159,1732,11,0.015451905656564336,0.013028381098003177,0.9925399332982271,0.09988452655889145,0.09090909090909091,0,0.0,32.02461362335432,18.0,,0.053974514275035086,0.0
hang-in/tunaFlow,rust,True,high,recency,0.8445,1.0,2,0.014360392833867308,0.01880324069636958,9.0,0.014014115603735536,0.014014115603735536,0.014706670063999078,0.0,0.014360392833867308,0.0,0.5,0.014360392833867308,2,0,0.014360392833867308,0.0,1.0,0.5,0.0,18,0.01486,39.0,68.0,6.5,0.06363636363636363,0.0
